   51  pūt   pūt
   50  hir   hir
   50  ätä   autau
   49  eha   eha
   49  pit   pit
   49  nuk   nuk
   48  aat   aat
   48  reh   reh
   48  ōti   ōti
   48  min   min
   48  ōha   ōha
   48  amo   amo
   47  rin   rin
   47  rāk   rāk
   47  ȧti   aiti
   47  ŋap   ngap
   47  āur   āur
   47  rät   raut
   46  ȧka   aika
   46  oni   oni
   46  han   han
   46  āte   āte
   46  maŋ   mang
   45  uki   uki
   45  mon   mon
   45  mem   mem
   45  mōh   mōh
   45  åre   aore
   45  eka   eka
   45  ūri   ūri
   45  uit   uit
   44  arä   arau
   44  wæŋ   waeng
   43  pur   pur
   43  eit   eit
   43  akȧ   akai
   43  āia   āia
   43  āho   āho
   43  mom   mom
   43  ȧfa   aiwha
   43  ipu   ipu
   43  pih   pih
   43  kȧt   kait
   43  rur   rur
   42  omȧ   omai
   42  pen   pen
   42  kȧf   kaiwh
   42  ūra   ūra
   42  pān   pān
   42  nek   nek
   41  ihu   ihu
   41  ŋār   ngār
   41  hut   hut
   41  heŋ   heng
   41  hām   hām
   41  apȧ   apai
   41  häā   hauā
   40  tūp   tūp
   40  ior   ior
   40  hat   hat
   39  iko   iko
   39  kek   kek
   39  tōr   tōr
   39  äāu   auāu
   38  rim   rim
   38  reŋ   reng
   38  pēr   pēr
   38  pōt   pōt
   38  tūf   tūwh
   37  oka   oka
   37  api   api
   37  äir   auir
   36  räp   raup
   36  tuŋ   tung
   36  ape   ape
   36  atȧ   atai
   36  ūfa   ūwha
   36  pah   pah
   35  amā   amā
   35  kiŋ   king
   35  tāt   tāt
   35  nah   nah
   35  pon   pon
   35  ihe   ihe
   35  tim   tim
   35  hom   hom
   35  nia   nia
   35  ror   ror
   35  āfe   āwhe
   34  pöt   pout
   34  åra   aora
   34  āmo   āmo
   34  iot   iot
   34  kaf   kawh
   34  ami   ami
   34  uma   uma
   34  rew   rew
   34  uak   uak
   34  rio   rio
   34  riŋ   ring
   33  ēte   ēte
   33  war   war
   33  ifi   iwhi
   33  här   haur
   33  uia   uia
   33  ena   ena
   33  ēnā   ēnā
   33  pek   pek
   33  fat   what
   33  tut   tut
   33  ire   ire
   33  teŋ   teng
   33  uti   uti
   33  anä   anau
   32  rip   rip
   32  mār   mār
   32  tīm   tīm
   32  kāk   kāk
   32  imi   imi
   32  tip   tip
   32  wȧh   waih
   32  aŋā   angā
   32  īma   īma
   32  tun   tun
   32  arȧ   arai
   32  ōri   ōri
   32  ion   ion
   31  tum   tum
   31  hea   hea
   31  heȯ   heoi
   31  iak   iak
   30  hāh   hāh
   30  pan   pan
   30  āpi   āpi
   30  ȧma   aima
   30  uam   uam
   30  tȧå   taiao
   30  keŋ   keng
   30  ūpu   ūpu
   30  uke   uke
   29  ron   ron
   29  nar   nar
   29  ȧat   aiat
   29  fin   whin
   29  pia   pia
   29  eme   eme
   29  tȧn   tain
   28  ufe   uwhe
   28  nen   nen
   28  upe   upe
   28  āhe   āhe
   28  mȧr   mair
   28  īhi   īhi
   28  iat   iat
   28  kȧp   kaip
   28  ȧŋa   ainga
   28  öti   outi
   28  nān   nān
   28  kāt   kāt
   27  moh   moh
   27  wer   wer
   27  aah   aah
   27  aŋo   ango
   27  kȧŋ   kaing
   27  āpu   āpu
   27  afȧ   awhai
   27  aak   aak
   27  nit   nit
   27  ike   ike
   27  kȧr   kair
   27  oat   oat
   26  hip   hip
   26  ŋak   ngak
   26  mir   mir
   26  nāi   nāi
   26  ūma   ūma
   26  tūt   tūt
   26  åŋa   aonga
   26  tȧr   tair
   26  niu   niu
   26  kän   kaun
   26  tūw   tūw
   26  ȧnu   ainu
   25  ȧho   aiho
   25  new   new
   25  ūpo   ūpo
   25  tāp   tāp
   25  kui   kui
   25  hop   hop
   25  rok   rok
   25  pūm   pūm
   25  kāp   kāp
   25  ipi   ipi
   25  inu   inu
   25  nun   nun
   25  ȧar   aiar
   25  ātä   ātau
   24  āŋȧ   āngai
   24  äka   auka
   24  äni   auni
   24  kār   kār
   24  ȧpa   aipa
   24  kōt   kōt
   24  kōm   kōm
   24  kut   kut
   24  atā   atā
   24  āri   āri
   24  wik   wik
   23  ōia   ōia
   23  rut   rut
   23  wȧp   waip
   23  tāk   tāk
   23  wȧa   waia
   23  āni   āni
   23  kih   kih
   23  wȧi   waii
   23  ope   ope
   23  hoŋ   hong
   23  ruk   ruk
   23  ūmä   ūmau
   23  ūna   ūna
   22  äru   auru
   22  ekē   ekē
   22  afā   awhā
   22  paŋ   pang
   22  ūwe   ūwe
   22  amȧ   amai
   22  poa   poa
   22  afe   awhe
   22  pȧn   pain
   22  ākā   ākā
   22  nīh   nīh
   22  ipa   ipa
   22  opo   opo
   22  kok   kok
   22  wān   wān
   22  kuu   kuu
   22  faf   whawh
   21  emu   emu
   21  ȧpu   aipu
   21  ŋāi   ngāi
   21  huk   huk
   21  pet   pet
   21  iam   iam
   21  mek   mek
   21  emo   emo
   21  ȧto   aito
   21  kaæ   kaae
   21  tih   tih
   21  nio   nio
   21  ren   ren
   21  oar   oar
   21  ūtȧ   ūtai
   21  kīa   kīa
   21  āmu   āmu
   21  akā   akā
   21  ȧtu   aitu
   21  ŋik   ngik
   21  uto   uto
   20  oaŋ   oang
   20  utȧ   utai
   20  tåŋ   taong
   20  ātu   ātu
   20  mȧt   mait
   20  äih   auih
   20  umu   umu
   20  uhu   uhu
   20  iku   iku
   20  tūm   tūm
   20  āwā   āwā
   20  ehu   ehu
   20  urȧ   urai
   19  inī   inī
   19  näŋ   naung
   19  tūh   tūh
   19  pōr   pōr
   19  mäi   maui
   19  taa   taa
   19  iap   iap
   19  rāh   rāh
   19  ȧro   airo
   19  eki   eki
   19  top   top
   19  iah   iah
   19  aŋȧ   angai
   18  ūte   ūte
   18  kår   kaor
   18  rūn   rūn
   18  ōrä   ōrau
   18  äna   auna
   18  kȧn   kain
   18  ruh   ruh
   18  ȧha   aiha
   18  pōh   pōh
   18  ahē   ahē
   18  fif   whiwh
   18  fek   whek
   18  påa   paoa
   18  pāp   pāp
   18  hōi   hōi
   18  ȧno   aino
   17  rȧa   raia
   17  käm   kaum
   17  nȧa   naia
   17  tot   tot
   17  pēn   pēn
   17  uaf   uawh
   17  hēt   hēt
   17  tæŋ   taeng
   17  äta   auta
   17  ūta   ūta
   17  kȧk   kaik
   17  eih   eih
   17  tāh   tāh
   17  fāi   whāi
   17  ūtu   ūtu
   17  neh   neh
   16  mät   maut
   16  ipo   ipo
   16  tom   tom
   16  tār   tār
   16  häo   hauo
   16  åri   aori
   16  tii   tii
   16  nōn   nōn
   16  äor   auor
   16  hāp   hāp
   16  eru   eru
   16  mår   maor
   16  meh   meh
   16  puŋ   pung
   16  ŋih   ngih
   16  kōk   kōk
   16  tuf   tuwh
   16  uah   uah
   16  hōr   hōr
   16  neŋ   neng
   16  heu   heu
   16  atō   atō
   16  uin   uin
   16  emi   emi
   15  ātȧ   ātai
   15  ōta   ōta
